Name	Team	G	GS	CG	SHO	QS	TBF	H	2B	3B	HR	R	ER	K	BB	IBB	HBP	WP	BK	IP
민성기	NC	21	0	0	0	0	128	28	6	0	2	17	14	21	23	1	4	1	0	25.2
주권	kt	15	3	0	0	0	123	43	10	1	6	26	23	13	9	0	2	2	0	24.1
박성호	한화	16	0	0	0	0	96	24	4	0	2	14	11	12	11	1	1	1	0	20.2
최대성	kt	8	0	0	0	0	19	4	3	0	1	4	4	0	7	0	0	2	0	2.2
김상수	넥센	2	1	0	0	0	30	10	3	0	1	8	6	2	5	0	0	0	0	5
김범수	한화	15	0	0	0	0	72	10	3	0	0	12	12	10	20	0	1	3	0	14.2
조승수	두산	1	0	0	0	0	6	2	1	0	1	1	1	1	1	0	0	0	0	1
문광은	SK	53	1	0	0	0	304	87	22	0	13	55	49	54	27	5	4	10	0	64.1
홍건희	KIA	38	7	0	0	0	383	84	10	2	18	63	55	86	57	4	4	8	0	82
오재영	넥센	9	4	0	0	0	96	31	6	0	4	19	19	11	12	0	1	3	0	18.1
문경찬	KIA	8	4	0	0	0	133	44	9	4	7	32	30	15	10	0	1	0	0	27.2
김명성	두산	17	0	0	0	0	89	27	5	0	2	15	15	10	11	0	1	4	0	17.1
최동환	LG	17	0	0	0	0	101	32	5	0	7	19	19	21	6	1	2	2	0	20.2
배장호	롯데	9	5	0	0	0	132	35	11	0	5	21	21	9	10	1	5	0	0	28.2
김동준	넥센	22	5	0	0	0	237	56	10	2	7	41	36	32	30	0	3	5	0	50.1
이준형	kt	4	2	0	0	0	35	7	0	0	1	7	4	5	9	1	1	4	0	5.2
이원재	두산	12	0	0	0	0	63	21	3	0	2	15	15	5	12	0	1	5	0	10.2
배힘찬	넥센	7	0	0	0	0	37	10	3	0	1	7	5	1	6	1	0	3	0	6.2
이성민	롯데	61	0	0	0	0	343	92	18	2	11	44	37	58	33	3	4	5	0	72.2
김사율	kt	21	0	0	0	0	126	40	13	2	4	28	23	24	11	1	2	3	0	25.2
한승혁	KIA	49	0	0	0	0	251	55	7	3	7	36	34	56	37	3	0	17	0	56
이창재	kt	38	0	0	0	0	151	38	8	0	8	30	25	32	12	0	2	3	0	33
김강률	두산	16	0	0	0	0	67	14	3	1	1	5	4	7	10	0	0	1	0	14.2
강장산	NC	20	0	0	0	0	121	27	7	0	3	17	16	9	15	1	3	4	0	25.2
고효준	SK	30	2	0	0	0	246	61	13	0	8	37	35	43	31	0	4	4	0	51
장민익	두산	4	0	0	0	0	31	11	0	0	4	14	13	4	8	0	0	1	0	4
이인복	롯데	9	1	0	0	0	105	36	9	0	4	25	23	9	8	0	2	4	0	20.1
이상민	넥센	23	0	0	0	0	99	29	2	1	4	23	23	12	10	0	3	1	0	19.1
노경은	두산	47	0	0	0	0	267	57	12	1	6	33	29	41	37	1	5	8	0	58.1
박희수	SK	14	1	0	0	0	51	13	2	0	3	6	6	12	8	0	1	0	0	10
이동걸	한화	32	0	0	0	0	219	58	13	0	8	28	22	25	28	3	4	6	0	44.1
노성호	NC	17	3	0	0	0	122	33	4	1	8	28	28	25	23	0	0	4	0	23.2
임기준	KIA	17	6	0	0	0	175	39	9	0	4	32	25	26	27	0	12	4	0	34
이재곤	롯데	5	5	0	0	0	71	15	3	0	1	10	9	9	18	0	4	0	0	13
김기태	삼성	23	0	0	0	0	131	36	8	1	11	25	23	23	10	0	0	1	0	29.1
구승민	롯데	11	3	0	0	0	140	46	4	2	9	33	33	20	9	0	2	4	0	29
이재우	두산	37	1	0	0	0	213	44	7	1	9	33	32	47	28	0	5	2	0	46
험버	KIA	12	11	0	0	2	244	62	16	0	11	38	38	35	32	0	5	6	0	50.2
배영수	한화	32	21	0	0	3	469	124	19	1	21	93	79	56	39	0	14	6	0	101
정성곤	kt	20	15	0	0	2	300	81	15	0	12	58	55	41	51	0	1	2	1	58
유창식	KIA	27	12	0	0	1	268	67	12	0	9	53	48	34	40	0	3	8	0	54.2
송창식	한화	64	10	0	0	2	503	115	20	0	29	82	78	87	64	5	7	10	1	109


