
조평호	NC	22	22	22	8	5	2	0	1	4	3	0	0	0	6	0	0	1	0	0	0.364
이성열	한화	97	254	219	55	34	10	2	9	34	35	19	1	9	83	2	7	5	1	1	0.251
조동화	SK	119	304	245	64	55	6	1	2	38	15	30	0	5	50	2	24	2	18	3	0.261
박기남	KIA	51	93	69	14	11	3	0	0	8	3	21	0	0	19	0	3	3	1	1	0.203
모건	한화	10	42	33	9	7	2	0	0	2	5	4	0	4	8	1	1	1	1	1	0.273
김기현	SK	9	9	7	3	3	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0.429
배영섭	삼성	4	18	16	6	6	0	0	0	2	2	2	0	0	4	0	0	2	1	0	0.375
박재상	SK	108	292	250	62	41	12	2	7	34	37	33	0	2	53	1	7	4	4	5	0.248
백상원	삼성	51	94	77	19	14	5	0	0	10	7	13	0	1	22	1	3	2	0	0	0.247
김응민	두산	4	3	3	1	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0.333
이현석	SK	3	3	3	1	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0.333
김민우	KIA	90	315	269	70	47	16	1	6	28	34	21	0	1	75	3	23	3	8	3	0.26
허웅	SK	18	19	17	5	4	1	0	0	2	3	2	0	0	3	0	0	0	0	0	0.294
유재신	넥센	62	32	27	7	5	2	0	0	21	3	3	0	0	10	0	2	2	10	1	0.259
이창열	한화	5	2	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0.5
박노민	한화	23	26	24	8	8	0	0	0	1	4	2	0	0	11	0	0	0	0	0	0.333
이정식	삼성	5	5	5	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.4
양원혁	LG	3	2	2	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0.5
홍성갑	넥센	7	10	9	3	3	0	0	0	0	2	1	0	0	4	0	0	0	0	0	0.333
김민준	넥센	2	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
최정민	SK	8	15	13	4	4	0	0	0	1	2	1	0	0	3	0	1	0	0	0	0.308
하주석	한화	4	11	10	3	3	0	0	0	3	1	1	0	0	4	0	0	0	0	0	0.3
